"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-06","MI","A+",13667,12918,59,749,,,2657,0,,523,7813432,40588,,,7813432,,304,551498,508736,4856,0,,,,,642832,363611,,0,8364930,45444,443670,,,,,0,8456264,45351
"2021-01-05","MI","A+",13608,12867,217,741,,,2758,0,,548,7772844,21976,,,7772844,,308,546642,504410,3031,0,,,,,638069,363611,,0,8319486,25007,440635,,,,,0,8410913,24546
"2021-01-04","MI","A+",13391,12678,85,713,,,2698,0,,550,7750868,166414,,,7750868,,313,543611,502119,5490,0,,,,,635499,363611,,0,8294479,171904,439529,,,,,0,8386367,183614
"2021-01-03","MI","A+",13306,12598,0,708,,,2758,0,,629,7584454,0,,,7584454,,368,538121,497127,0,0,,,,,618299,363611,,0,8122575,0,427428,,,,,0,8202753,0
"2021-01-02","MI","A+",13306,12598,288,708,,,2758,0,,629,7584454,0,,,7584454,,368,538121,497127,9500,0,,,,,618299,363611,,0,8122575,9500,427428,,,,,0,8202753,0
"2021-01-01","MI","A+",13018,12333,0,685,,,2758,0,,629,7584454,0,,,7584454,,368,528621,488144,0,0,,,,,618299,318389,,0,8113075,0,427428,,,,,0,8202753,0
"2020-12-31","MI","A+",13018,12333,0,685,,,2758,0,,629,7584454,0,,,7584454,,368,528621,488144,0,0,,,,,618299,318389,,0,8113075,0,427428,,,,,0,8202753,0
"2020-12-30","MI","A+",13018,12333,52,685,,,2758,0,,629,7584454,43822,,,7584454,,368,528621,488144,4782,0,,,,,618299,318389,,0,8113075,48604,427428,,,,,0,8202753,48416
"2020-12-29","MI","A+",12966,12282,212,684,,,2906,0,,649,7540632,19672,,,7540632,,390,523839,483922,3963,0,,,,,613705,318389,,0,8064471,23635,425918,,,,,0,8154337,21648
"2020-12-28","MI","A+",12754,12089,64,665,,,2811,0,,662,7520960,58017,,,7520960,,407,519876,480508,3550,0,,,,,611729,318389,,0,8040836,61567,423406,,,,,0,8132689,62944
"2020-12-27","MI","A+",12690,12029,0,661,,,3108,0,,738,7462943,0,,,7462943,,416,516326,477269,0,0,,,,,606802,318389,,0,7979269,0,422569,,,,,0,8069745,0
"2020-12-26","MI","A+",12690,12029,275,661,,,3108,0,,738,7462943,121344,,,7462943,,416,516326,477269,7877,0,,,,,606802,318389,,0,7979269,129221,422569,,,,,0,8069745,132087
"2020-12-25","MI","A+",12415,11775,0,640,,,3108,0,,738,7341599,0,,,7341599,,416,508449,469928,0,0,,,,,596059,284731,,0,7850048,0,415661,,,,,0,7937658,0
"2020-12-24","MI","A+",12415,11775,0,640,,,3108,0,,738,7341599,0,,,7341599,,416,508449,469928,0,0,,,,,596059,284731,,0,7850048,0,415661,,,,,0,7937658,0
"2020-12-23","MI","A+",12415,11775,73,640,,,3108,0,,738,7341599,30230,,,7341599,,416,508449,469928,3820,0,,,,,596059,284731,,0,7850048,34050,415661,,,,,0,7937658,32764
"2020-12-22","MI","A+",12342,11705,189,637,,,3156,0,,731,7311369,30308,,,7311369,,426,504629,466485,3514,0,,,,,593525,284731,,0,7815998,33822,413750,,,,,0,7904894,33595
"2020-12-21","MI","A+",12153,11532,79,621,,,3179,0,,711,7281061,77483,,,7281061,,436,501115,463403,5059,0,,,,,590238,284731,,0,7782176,82542,411872,,,,,0,7871299,84618
"2020-12-20","MI","A+",12074,11461,0,613,,,3284,0,,758,7203578,0,,,7203578,,466,496056,458852,0,0,,,,,583103,284731,,0,7699634,0,409456,,,,,0,7786681,0
"2020-12-19","MI","A+",12074,11461,206,613,,,3284,0,,758,7203578,56985,,,7203578,,466,496056,458852,4181,0,,,,,583103,284731,,0,7699634,61166,409456,,,,,0,7786681,62678
"2020-12-18","MI","A+",11868,11274,67,594,,,3284,0,,758,7146593,46288,,,7146593,,466,491875,454956,4519,0,,,,,577410,236369,,0,7638468,50807,405263,,,,,0,7724003,50919
"2020-12-17","MI","A+",11801,11212,213,589,,,3395,0,,780,7100305,48529,,,7100305,,461,487356,450776,4541,0,,,,,572779,236369,,0,7587661,53070,402979,,,,,0,7673084,53747
"2020-12-16","MI","A+",11588,11018,93,570,,,3571,0,,818,7051776,49795,,,7051776,,476,482815,446752,4644,0,,,,,567561,236369,,0,7534591,54439,400859,,,,,0,7619337,55380
"2020-12-15","MI","A+",11495,10935,206,560,,,3674,0,,821,7001981,44313,,,7001981,,508,478171,442715,5391,0,,,,,561976,236369,,0,7480152,49704,397438,,,,,0,7563957,49711
"2020-12-14","MI","A+",11289,10752,94,537,,,3802,0,,860,6957668,80837,,,6957668,,514,472780,437985,7621,0,,,,,556578,236369,,0,7430448,88458,395683,,,,,0,7514246,90046
"2020-12-13","MI","A+",11195,10662,0,533,,,3893,0,,863,6876831,0,,,6876831,,518,465159,430780,0,0,,,,,547369,236369,,0,7341990,0,392309,,,,,0,7424200,0
"2020-12-12","MI","A+",11195,10662,230,533,,,3893,0,,863,6876831,51829,,,6876831,,518,465159,430780,4813,0,,,,,547369,236369,,0,7341990,56642,392309,,,,,0,7424200,57647
"2020-12-11","MI","A+",10965,10456,65,509,,,3893,0,,863,6825002,52723,,,6825002,,518,460346,426294,5626,0,,,,,541551,197750,,0,7285348,58349,390240,,,,,0,7366553,59768
"2020-12-10","MI","A+",10900,10395,194,505,,,3893,0,,863,6772279,53788,,,6772279,,518,454720,421137,6302,0,,,,,534506,197750,,0,7226999,60090,388121,,,,,0,7306785,60320
"2020-12-09","MI","A+",10706,10213,81,493,,,3925,0,,857,6718491,42314,,,6718491,,522,448418,415200,5342,0,,,,,527974,197750,,0,7166909,47656,385279,,,,,0,7246465,48099
"2020-12-08","MI","A+",10625,10138,203,487,,,4091,0,,849,6676177,53857,,,6676177,,512,443076,410295,6676,0,,,,,522189,197750,,0,7119253,60533,383571,,,,,0,7198366,61388
"2020-12-07","MI","A+",10422,9947,101,475,,,4122,0,,840,6622320,83838,,,6622320,,515,436400,404386,9824,0,,,,,514658,197750,,0,7058720,93662,380511,,,,,0,7136978,95601
