"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-07","MI","A+",7169,6847,8,322,,,687,0,,201,3734543,33459,,,3734543,,88,145092,130842,1214,0,,,,,181108,99521,,0,3879635,34673,301600,,,,,0,3915651,34681
"2020-10-06","MI","A+",7161,6838,22,323,,,678,0,,158,3701084,24983,,,3701084,,75,143878,129826,1152,0,,,,,179886,99521,,0,3844962,26135,300923,,,,,0,3880970,25864
"2020-10-05","MI","A+",7139,6816,15,323,,,678,0,,158,3676101,53098,,,3676101,,67,142726,128923,1455,0,,,,,179005,99521,,0,3818827,54553,299146,,,,,0,3855106,55071
"2020-10-04","MI","A+",7124,6801,0,323,,,678,0,,158,3623003,0,,,3623003,,62,141271,127516,0,0,,,,,177032,99521,,0,3764274,0,297983,,,,,0,3800035,0
"2020-10-03","MI","A+",7124,6801,14,323,,,678,0,,158,3623003,39251,,,3623003,,62,141271,127516,1275,0,,,,,177032,99521,,0,3764274,40526,297983,,,,,0,3800035,40437
"2020-10-02","MI","A+",7110,6788,8,322,,,678,0,,158,3583752,39183,,,3583752,,62,139996,126358,984,0,,,,,175846,95051,,0,3723748,40167,296844,,,,,0,3759598,40411
"2020-10-01","MI","A+",7102,6781,19,321,,,678,0,,158,3544569,34721,,,3544569,,67,139012,125578,998,0,,,,,174618,95051,,0,3683581,35719,295830,,,,,0,3719187,35925
"2020-09-30","MI","A+",7083,6762,11,321,,,557,0,,137,3509848,28584,,,3509848,,59,138014,124687,1194,0,,,,,173414,95051,,0,3647862,29778,294558,,,,,0,3683262,29538
"2020-09-29","MI","A+",7072,6751,21,321,,,557,0,,137,3481264,22976,,,3481264,,60,136820,123633,1118,0,,,,,172460,95051,,0,3618084,24094,292652,,,,,0,3653724,23821
"2020-09-28","MI","A+",7051,6731,7,320,,,557,0,,137,3458288,49604,,,3458288,,51,135702,122735,1329,0,,,,,171615,95051,,0,3593990,50933,292255,,,,,0,3629903,51319
"2020-09-27","MI","A+",7044,6723,0,321,,,558,0,,139,3408684,0,,,3408684,,52,134373,121427,0,0,,,,,169900,95051,,0,3543057,0,291180,,,,,0,3578584,0
"2020-09-26","MI","A+",7044,6723,17,321,,,558,0,,139,3408684,39749,,,3408684,,52,134373,121427,996,0,,,,,169900,95051,,0,3543057,40745,291180,,,,,0,3578584,40941
"2020-09-25","MI","A+",7027,6708,8,319,,,558,0,,139,3368935,38448,,,3368935,,52,133377,120526,1040,0,,,,,168708,90216,,0,3502312,39488,289151,,,,,0,3537643,39572
"2020-09-24","MI","A+",7019,6700,6,319,,,558,0,,139,3330487,36639,,,3330487,,50,132337,119597,1078,0,,,,,167584,90216,,0,3462824,37717,288257,,,,,0,3498071,37781
"2020-09-23","MI","A+",7013,6692,16,321,,,501,0,,146,3293848,33327,,,3293848,,58,131259,118615,902,0,,,,,166442,90216,,0,3425107,34229,287162,,,,,0,3460290,34332
"2020-09-22","MI","A+",6997,6680,16,317,,,501,0,,146,3260521,19516,,,3260521,,56,130357,117910,695,0,,,,,165437,90216,,0,3390878,20211,285455,,,,,0,3425958,20184
"2020-09-21","MI","A+",6981,6665,12,316,,,501,0,,146,3241005,50623,,,3241005,,64,129662,117406,1575,0,,,,,164769,90216,,0,3370667,52198,285076,,,,,0,3405774,52088
"2020-09-20","MI","A+",6969,6653,0,316,,,557,0,,150,3190382,0,,,3190382,,64,128087,115870,0,0,,,,,163304,90216,,0,3318469,0,283882,,,,,0,3353686,0
"2020-09-19","MI","A+",6969,6653,15,316,,,557,0,,150,3190382,32852,,,3190382,,64,128087,115870,587,0,,,,,163304,90216,,0,3318469,33439,283882,,,,,0,3353686,33899
"2020-09-18","MI","A+",6954,6638,-1,316,,,557,0,,150,3157530,32521,,,3157530,,64,127500,115387,778,0,,,,,162257,85513,,0,3285030,33299,282669,,,,,0,3319787,33566
"2020-09-17","MI","A+",6955,6632,12,323,,,590,0,,152,3125009,32290,,,3125009,,67,126722,114692,980,0,,,,,161212,85513,,0,3251731,33270,279980,,,,,0,3286221,33274
"2020-09-16","MI","A+",6943,6623,11,320,,,590,0,,152,3092719,30067,,,3092719,,65,125742,113863,773,0,,,,,160228,85513,,0,3218461,30840,270746,,,,,0,3252947,31041
"2020-09-15","MI","A+",6932,6612,11,320,,,590,0,,152,3062652,24852,,,3062652,,68,124969,113183,682,0,,,,,159254,85513,,0,3187621,25534,270031,,,,,0,3221906,25779
"2020-09-14","MI","A+",6921,6601,10,320,,,590,0,,152,3037800,50248,,,3037800,,82,124287,112612,1229,0,,,,,158327,85513,,0,3162087,51477,269507,,,,,0,3196127,51636
"2020-09-13","MI","A+",6911,6591,0,320,,,627,0,,172,2987552,0,,,2987552,,77,123058,111524,0,0,,,,,156939,85513,,0,3110610,0,268368,,,,,0,3144491,0
"2020-09-12","MI","A+",6911,6591,11,320,,,627,0,,172,2987552,37017,,,2987552,,77,123058,111524,807,0,,,,,156939,85513,,0,3110610,37824,268368,,,,,0,3144491,38323
"2020-09-11","MI","A+",6900,6578,6,322,,,627,0,,172,2950535,34933,,,2950535,,77,122251,110832,1405,0,,,,,155633,80678,,0,3072786,36338,267328,,,,,0,3106168,36473
"2020-09-10","MI","A+",6894,6569,7,325,,,627,0,,172,2915602,32188,,,2915602,,75,120846,109519,983,0,,,,,154093,80678,,0,3036448,33171,266151,,,,,0,3069695,33202
"2020-09-09","MI","A+",6887,6552,76,335,,,616,0,,158,2883414,22232,,,2883414,,70,119863,108595,961,0,,,,,153079,80678,,0,3003277,23193,265430,,,,,0,3036493,23137
"2020-09-08","MI","A+",6811,6539,1,272,,,616,0,,158,2861182,16907,,,2861182,,76,118902,107812,499,0,,,,,152174,80678,,0,2980084,17406,264994,,,,,0,3013356,17470
"2020-09-07","MI","A+",6810,6538,4,272,,,616,0,,158,2844275,42464,,,2844275,,71,118403,107371,1212,0,,,,,151611,80678,,0,2962678,43676,264881,,,,,0,2995886,44071
"2020-09-06","MI","A+",6806,6534,0,272,,,616,0,,158,2801811,0,,,2801811,,71,117191,106215,0,0,,,,,150004,80678,,0,2919002,0,263721,,,,,0,2951815,0
"2020-09-05","MI","A+",6806,6534,8,272,,,616,0,,158,2801811,40125,,,2801811,,71,117191,106215,896,0,,,,,150004,80678,,0,2919002,41021,263721,,,,,0,2951815,40903
"2020-09-04","MI","A+",6798,6526,7,272,,,616,0,,158,2761686,27477,,,2761686,,75,116295,105377,1053,0,,,,,148506,76151,,0,2877981,28530,262033,,,,,0,2910912,29205
"2020-09-03","MI","A+",6791,6519,10,272,,,616,0,,158,2734209,31861,,,2734209,,75,115242,104395,774,0,,,,,147498,76151,,0,2849451,32635,261011,,,,,0,2881707,32855
"2020-09-02","MI","A+",6781,6509,14,272,,,629,0,,156,2702348,26761,,,2702348,,78,114468,103710,648,0,,,,,146504,76151,,0,2816816,27409,259606,,,,,0,2848852,27594
"2020-09-01","MI","A+",6767,6495,14,272,,,629,0,,156,2675587,24181,,,2675587,,83,113820,103186,795,0,,,,,145671,76151,,0,2789407,24976,258577,,,,,0,2821258,24996
"2020-08-31","MI","A+",6753,6480,5,273,,,629,0,,156,2651406,19138,,,2651406,,90,113025,102468,499,0,,,,,144856,76151,,0,2764431,19637,257840,,,,,0,2796262,19765
"2020-08-30","MI","A+",6748,6473,36,275,,,669,0,,184,2632268,59530,,,2632268,,93,112526,102017,1390,0,,,,,144229,76151,,0,2744794,60920,257397,,,,,0,2776497,27091
"2020-08-29","MI","A+",6712,6446,0,266,,,669,0,,184,2572738,0,,,2572738,,93,111136,100699,0,0,,,,,142390,76151,,0,2683874,0,256585,,,,,0,2749406,34278
"2020-08-28","MI","A+",6712,6446,6,266,,,669,0,,184,2572738,32250,,,2572738,,93,111136,100699,793,0,,,,,142390,72580,,0,2683874,33043,253766,,,,,0,2715128,33342
"2020-08-27","MI","A+",6706,6440,16,266,,,669,0,,184,2540488,29616,,,2540488,,85,110343,99958,863,0,,,,,141298,72580,,0,2650831,30479,252101,,,,,0,2681786,30717
"2020-08-26","MI","A+",6690,6424,6,266,,,637,0,,186,2510872,40334,,,2510872,,93,109480,99200,843,0,,,,,140197,72580,,0,2620352,41177,250244,,,,,0,2651069,41345
"2020-08-25","MI","A+",6684,6417,21,267,,,637,0,,186,2470538,23330,,,2470538,,86,108637,98439,951,0,,,,,139186,72580,,0,2579175,24281,249056,,,,,0,2609724,24298
"2020-08-24","MI","A+",6663,6397,4,266,,,637,0,,186,2447208,20544,,,2447208,,86,107686,97660,878,0,,,,,138218,72580,,0,2554894,21422,248310,,,,,0,2585426,21092
"2020-08-23","MI","A+",6659,6393,4,266,,,646,0,,173,2426664,73669,,,2426664,,95,106808,96792,764,0,,,,,137670,72580,,0,2533472,74433,247944,,,,,0,2564334,76129
"2020-08-22","MI","A+",6655,6389,21,266,,,646,0,,173,2352995,31911,,,2352995,,95,106044,96024,1426,0,,,,,135210,72580,,0,2459039,33337,244940,,,,,0,2488205,33018
"2020-08-21","MI","A+",6634,6368,0,266,,,646,0,,173,2321084,0,,,2321084,,95,104618,94697,0,0,,,,,134103,67778,,0,2425702,0,243222,,,,,0,2455187,0
"2020-08-20","MI","A+",6634,6368,16,266,,,646,0,,173,2321084,29987,,,2321084,,81,104618,94697,527,0,,,,,134103,67778,,0,2425702,30514,243222,,,,,0,2455187,31183
"2020-08-19","MI","A+",6618,6349,10,269,,,653,0,,169,2291097,31975,,,2291097,,82,104091,94278,688,0,,,,,132907,67778,,0,2395188,32663,240643,,,,,0,2424004,32955
"2020-08-18","MI","A+",6608,6340,16,268,,,653,0,,169,2259122,21664,,,2259122,,89,103403,93662,654,0,,,,,131927,67778,,0,2362525,22318,239798,,,,,0,2391049,22267
"2020-08-17","MI","A+",6592,6325,0,267,,,653,0,,169,2237458,18667,,,2237458,,89,102749,93185,490,0,,,,,131324,67778,,0,2340207,19157,238946,,,,,0,2368782,19351
"2020-08-16","MI","A+",6592,6324,6,268,,,713,0,,184,2218791,28794,,,2218791,,87,102259,92720,477,0,,,,,130640,67778,,0,2321050,29271,238181,,,,,0,2349431,29874
"2020-08-15","MI","A+",6586,6318,20,268,,,713,0,,184,2189997,29570,,,2189997,,87,101782,92155,1058,0,,,,,129560,67778,,0,2291779,30628,237323,,,,,0,2319557,30824
"2020-08-14","MI","A+",6566,6300,11,266,,,713,0,,184,2160427,37897,,,2160427,,87,100724,91140,868,0,,,,,128306,63636,,0,2261151,38765,235572,,,,,0,2288733,39292
"2020-08-13","MI","A+",6555,6289,16,266,,,713,0,,184,2122530,39378,,,2122530,,90,99856,90392,1167,0,,,,,126911,63636,,0,2222386,40545,233568,,,,,0,2249441,40629
"2020-08-12","MI","A+",6539,6273,6,266,,,640,0,,185,2083152,34811,,,2083152,,84,98689,89271,476,0,,,,,125660,63636,,0,2181841,35287,231232,,,,,0,2208812,35914
"2020-08-11","MI","A+",6533,6264,7,269,,,640,0,,185,2048341,23058,,,2048341,,85,98213,88756,907,0,,,,,124557,63636,,0,2146554,23965,230011,,,,,0,2172898,24112
"2020-08-10","MI","A+",6526,6257,7,269,,,640,0,,185,2025283,20677,,,2025283,,132,97306,87960,580,0,,,,,123503,63636,,0,2122589,21257,229030,,,,,0,2148786,21438
"2020-08-09","MI","A+",6519,6249,-1,270,,,694,0,,232,2004606,25676,,,2004606,,132,96726,87403,535,0,,,,,122742,63636,,0,2101332,26211,228519,,,,,0,2127348,26500
"2020-08-08","MI","A+",6520,6250,-4,270,,,694,0,,232,1978930,37805,,,1978930,,132,96191,86889,721,0,,,,,121918,63636,,0,2075121,38526,227521,,,,,0,2100848,38892
"2020-08-07","MI","A+",6524,6247,18,277,,,694,0,,232,1941125,29203,,,1941125,,132,95470,86191,814,0,,,,,120831,60022,,0,2036595,30017,225674,,,,,0,2061956,30302
"2020-08-06","MI","A+",6506,6247,28,259,,,694,0,,232,1911922,25343,,,1911922,,132,94656,85429,763,0,,,,,119732,60022,,0,2006578,26106,223982,,,,,0,2031654,26160
"2020-08-05","MI","A+",6478,6221,7,257,,,694,0,,232,1886579,25339,,,1886579,,132,93893,84707,718,0,,,,,118915,60022,,0,1980472,26057,222019,,,,,0,2005494,26237
"2020-08-04","MI","A+",6471,6219,8,252,,,694,0,,232,1861240,26791,,,1861240,,132,93175,84050,801,0,,,,,118017,60022,,0,1954415,27592,220799,,,,,0,1979257,27702
"2020-08-03","MI","A+",6463,6212,6,251,,,694,0,,232,1834449,24369,,,1834449,,132,92374,83386,613,0,,,,,117106,60022,,0,1926823,24982,218538,,,,,0,1951555,25207
"2020-08-02","MI","A+",6457,6206,0,251,,,727,0,,238,1810080,24582,,,1810080,,144,91761,82782,429,0,,,,,116268,60022,,0,1901841,25011,217937,,,,,0,1926348,25433
"2020-08-01","MI","A+",6457,6206,7,251,,,727,0,,238,1785498,31625,,,1785498,,144,91332,82356,758,0,,,,,115417,60022,,0,1876830,32383,216608,,,,,0,1900915,32759
"2020-07-31","MI","A+",6450,6199,7,251,,,727,0,,238,1753873,30476,,,1753873,,144,90574,81621,793,0,,,,,114283,57502,,0,1844447,31269,214923,,,,,0,1868156,31572
"2020-07-30","MI","A+",6443,6191,21,252,,,727,0,,238,1723397,19138,,,1723397,,153,89781,80887,807,0,,,,,113187,57502,,0,1813178,19945,212732,,,,,0,1836584,16779
"2020-07-29","MI","A+",6422,6172,1,250,,,670,0,,195,1704259,64335,,,1704259,,135,88974,80172,1016,0,,,,,115546,57502,,0,1793233,65351,210763,,,,,0,1819805,67930
"2020-07-28","MI","A+",6421,6170,16,251,,,670,0,,195,1639924,26608,,,1639924,,135,87958,79176,785,0,,,,,111951,57502,,0,1727882,27393,209655,,,,,0,1751875,27983
"2020-07-27","MI","A+",6405,6154,5,251,,,670,0,,195,1613316,29233,,,1613316,,113,87173,78507,512,0,,,,,110576,57502,,0,1700489,29745,208729,,,,,0,1723892,30180
"2020-07-26","MI","A+",6400,6149,0,251,,,680,0,,210,1584083,54509,,,1584083,,113,86661,78019,1589,0,,,,,109629,57502,,0,1670744,56098,207540,,,,,0,1693712,56695
"2020-07-25","MI","A+",6400,6151,0,249,,,751,0,,215,1529574,0,,,1529574,,113,85072,76541,0,0,,,,,107443,55162,,0,1614646,0,204810,,,,,0,1637017,0
"2020-07-24","MI","A+",6400,6151,5,249,,,751,0,,215,1529574,27281,,,1529574,,113,85072,76541,641,0,,,,,107443,55162,,0,1614646,27922,204810,,,,,0,1637017,28357
"2020-07-23","MI","A+",6395,6148,7,247,,,680,0,,210,1502293,26410,,,1502293,,120,84431,75947,701,0,,,,,106367,55162,,0,1586724,27111,202720,,,,,0,1608660,27375
"2020-07-22","MI","A+",6388,6141,6,247,,,680,0,,210,1475883,29567,,,1475883,,120,83730,75248,671,0,,,,,105402,55162,,0,1559613,30238,200528,,,,,0,1581285,30588
"2020-07-21","MI","A+",6382,6135,9,247,,,680,0,,210,1446316,21922,,,1446316,,130,83059,74725,664,0,,,,,104381,55162,,0,1529375,22586,199230,,,,,0,1550697,22893
"2020-07-20","MI","A+",6373,6126,7,247,,,680,0,,210,1424394,21803,,,1424394,,102,82395,74152,527,0,,,,,103410,55162,,0,1506789,22330,198479,,,,,0,1527804,22600
"2020-07-19","MI","A+",6366,6119,2,247,,,680,0,,201,1402591,27851,,,1402591,,102,81868,73663,530,0,,,,,102613,55162,,0,1484459,28381,197569,,,,,0,1505204,28819
"2020-07-18","MI","A+",6364,6117,9,247,,,680,0,,201,1374740,29827,,,1374740,,102,81338,73180,745,0,,,,,101645,55162,,0,1456078,30572,195843,,,,,0,1476385,31024
"2020-07-17","MI","A+",6355,6108,7,247,,,680,0,,201,1344913,29598,,,1344913,,88,80593,72502,754,0,,,,,100448,53867,,0,1425506,30352,192929,,,,,0,1445361,30559
"2020-07-16","MI","A+",6348,6101,18,247,,,680,0,,201,1315315,26309,,,1315315,,107,79839,71842,926,0,,,,,99487,53867,,0,1395154,27235,190043,,,,,0,1414802,27257
"2020-07-15","MI","A+",6330,6085,4,245,,,543,0,,184,1289006,33084,,,1289006,,107,78913,71197,1049,0,,,,,98539,53867,,0,1367919,34133,187617,,,,,0,1387545,34363
"2020-07-14","MI","A+",6326,6081,5,245,,,543,0,,184,1255922,19693,,,1255922,,109,77864,70306,666,0,,,,,97260,53867,,0,1333786,20359,186178,,,,,0,1353182,20515
"2020-07-13","MI","A+",6321,6075,7,246,,,543,0,,184,1236229,16850,,,1236229,,113,77198,69722,422,0,,,,,96438,53867,,0,1313427,17272,185189,,,,,0,1332667,17362
"2020-07-12","MI","A+",6314,6068,1,246,,,505,0,,174,1219379,21627,,,1219379,,99,76776,69338,406,0,,,,,95926,53867,,0,1296155,22033,183784,,,,,0,1315305,22354
"2020-07-11","MI","A+",6313,6067,28,246,,,505,0,,174,1197752,26632,,,1197752,,99,76370,68948,685,0,,,,,95199,53867,,0,1274122,27317,182310,,,,,0,1292951,27607
"2020-07-10","MI","A+",6285,6039,14,246,,,505,0,,174,1171120,22630,,,1171120,,92,75685,68295,622,0,,,,,94224,52841,,0,1246805,23252,179789,,,,,0,1265344,23382
"2020-07-09","MI","A+",6271,6024,9,247,,,505,0,,174,1148490,23038,,,1148490,,93,75063,67683,512,0,,,,,93472,52841,,0,1223553,23550,177549,,,,,0,1241962,23909
"2020-07-08","MI","A+",6262,6015,11,247,,,505,0,,174,1125452,22841,,,1125452,,93,74551,67237,651,0,,,,,92601,52841,,0,1200003,23492,174840,,,,,0,1218053,23735
"2020-07-07","MI","A+",6251,6005,30,246,,,505,0,,174,1102611,16517,,,1102611,,99,73900,66627,631,0,,,,,91707,52841,,0,1176511,17148,173395,,,,,0,1194318,17071
"2020-07-06","MI","A+",6221,5975,3,246,,,505,0,,174,1086094,12216,,,1086094,,92,73269,66173,328,0,,,,,91153,52841,,0,1159363,12544,172386,,,,,0,1177247,12581
"2020-07-05","MI","A+",6218,5972,0,246,,,548,0,,193,1073878,16305,,,1073878,,92,72941,65876,360,0,,,,,90788,52841,,0,1146819,16665,172203,,,,,0,1164666,16830
"2020-07-04","MI","A+",6218,5972,3,246,,,548,0,,193,1057573,21483,,,1057573,,92,72581,65533,406,0,,,,,90263,52841,,0,1130154,21889,170893,,,,,0,1147836,22098
"2020-07-03","MI","A+",6215,5969,3,246,,,548,0,,193,1036090,22631,,,1036090,,92,72175,65135,497,0,,,,,89648,51099,,0,1108265,23128,168588,,,,,0,1125738,23326
"2020-07-02","MI","A+",6212,5966,14,246,,,548,0,,193,1013459,22689,,,1013459,,103,71678,64675,589,0,,,,,88953,51099,,0,1085137,23278,165567,,,,,0,1102412,23423
"2020-07-01","MI","A+",6198,5951,5,247,,,471,0,,179,990770,16441,,,990770,,103,71089,64132,361,0,,,,,88219,51099,,0,1061859,16802,162911,,,,,0,1078989,16873
"2020-06-30","MI","A+",6193,5947,32,246,,,471,0,,179,974329,15177,,,974329,,98,70728,63870,505,0,,,,,87787,51099,,0,1045057,15682,160431,,,,,0,1062116,15571
"2020-06-29","MI","A+",6161,5915,3,246,,,557,0,,193,959152,12419,,,959152,,106,70223,63497,277,0,,,,,87393,51099,,0,1029375,12696,158486,,,,,0,1046545,12725
"2020-06-28","MI","A+",6158,5912,5,246,,,557,0,,193,946733,15591,,,946733,,106,69946,63261,267,0,,,,,87087,51099,,0,1016679,15858,156996,,,,,0,1033820,15965
"2020-06-27","MI","A+",6153,5907,19,246,,,557,0,,193,931142,18765,,,931142,,106,69679,63009,350,0,,,,,86713,51099,,0,1000821,19115,154909,,,,,0,1017855,19365
"2020-06-26","MI","A+",6134,5888,1,246,,,557,0,,193,912377,18527,,,912377,,106,69329,62695,340,0,,,,,86113,49290,,0,981706,18867,151973,,,,,0,998490,19072
"2020-06-25","MI","A+",6133,5886,19,247,,,557,0,,193,893850,17600,,,893850,,115,68989,62306,434,0,,,,,85568,49290,,0,962839,18034,148912,,,,,0,979418,18050
"2020-06-24","MI","A+",6114,5868,5,246,,,557,0,,209,876250,15779,,,876250,,124,68555,61953,358,0,,,,,85118,49290,,0,944805,16137,146035,,,,,0,961368,16159
"2020-06-23","MI","A+",6109,5864,12,245,,,557,0,,209,860471,10411,,,860471,,99,68197,61630,240,0,,,,,84738,49290,,0,928668,10651,144088,,,,,0,945209,10664
"2020-06-22","MI","A+",6097,5853,7,244,,,557,0,,209,850060,10345,,,850060,,99,67957,61409,246,0,,,,,84485,49290,,0,918017,10591,143099,,,,,0,934545,10584
"2020-06-21","MI","A+",6090,5846,3,244,,,557,0,,209,839715,12626,,,839715,,99,67711,61230,166,0,,,,,84246,49290,,0,907426,12792,141941,,,,,0,923961,12933
"2020-06-20","MI","A+",6087,5843,20,244,,,557,0,,209,827089,14258,,,827089,,99,67545,61084,448,0,,,,,83939,49290,,0,894634,14706,140185,,,,,0,911028,14646
"2020-06-19","MI","A+",6067,5823,6,244,,,557,0,,209,812831,29443,,,812831,,99,67097,60829,299,0,,,,,83551,44964,,0,879928,29742,137858,,,,,0,896382,30105
"2020-06-18","MI","A+",6061,5818,25,243,,,557,0,,209,783388,0,,,783388,,101,66798,60618,301,0,,,,,82889,44964,,0,850186,301,132227,,,,,0,866277,0
"2020-06-17","MI","A+",6036,5792,2,244,,,562,0,,210,783388,14123,,,783388,,131,66497,60393,228,0,,,,,82889,44964,,0,849885,14351,132227,,,,,0,866277,14447
"2020-06-16","MI","A+",6034,5790,17,244,,,562,0,,210,769265,11313,,,769265,,131,66269,60189,184,0,,,,,82565,44964,,0,835534,11497,130254,,,,,0,851830,11964
"2020-06-15","MI","A+",6017,5772,1,245,,,562,0,,210,757952,10508,,,757952,,139,66085,60064,31,0,,,,,82274,44964,,0,824037,10539,128657,,,,,0,839866,10343
"2020-06-14","MI","A+",6016,5771,3,245,,,636,0,,253,747444,13797,,,747444,,139,66054,59990,218,0,,,,,82079,44964,,0,813498,14015,127842,,,,,0,829523,14149
"2020-06-13","MI","A+",6013,5768,23,245,,,636,0,,253,733647,13032,,,733647,,139,65836,59801,164,0,,,,,81727,44964,,0,799483,13196,125950,,,,,0,815374,13338
"2020-06-12","MI","A+",5990,5745,5,245,,,636,0,,253,720615,15544,,,720615,,139,65672,59621,223,0,,,,,81421,42041,,0,786287,15767,122843,,,,,0,802036,15882
"2020-06-11","MI","A+",5985,5738,33,247,,,661,0,,249,705071,14202,,,705071,,150,65449,59496,267,0,,,,,81083,42041,,0,770520,14469,120796,,,,,0,786154,14602
"2020-06-10","MI","A+",5952,5708,1,244,,,661,0,,249,690869,0,,,690869,,150,65182,59278,15,0,,,,,80683,42041,,0,756051,15,116586,,,,,0,771552,0
"2020-06-09","MI","A+",5951,5708,9,244,,,661,0,,249,690869,16809,,,690869,,150,65167,59265,63,0,,,,,80683,42041,,0,756036,16872,116586,,,,,0,771552,17144
"2020-06-08","MI","A+",5942,5707,15,244,,,661,0,,249,674060,12804,,,674060,,191,65104,59211,135,0,,,,,80348,42041,,0,739164,12939,114914,,,,,0,754408,13040
"2020-06-07","MI","A+",5927,5698,11,244,,,864,0,,315,661256,10314,,,661256,,191,64969,59107,55,0,,,,,80112,42041,,0,726225,10369,113451,,,,,0,741368,10531
"2020-06-06","MI","A+",5916,5683,7,244,,,864,0,,315,650942,10492,,,650942,,191,64914,59073,93,0,,,,,79895,42041,,0,715856,10585,111125,,,,,0,730837,10749
"2020-06-05","MI","A+",5909,5672,8,244,,,617,0,,321,640450,12543,,,640450,,205,64821,59001,205,0,,,,,79638,38099,,0,705271,12748,104273,,,,,0,720088,12958
"2020-06-04","MI","A+",5901,5665,17,244,,,617,0,,321,627907,14734,,,627907,,205,64616,58878,234,0,,,,,79223,38099,,0,692523,14968,101172,,,,,0,707130,15114
"2020-06-03","MI","A+",5884,5657,15,243,,,646,0,,328,613173,16101,,,613173,,224,64382,58760,279,0,,,,,78843,38099,,0,677555,16380,98953,,,,,0,692016,16696
"2020-06-02","MI","A+",5869,5641,26,242,,,674,0,,346,597072,15648,,,597072,,240,64103,58594,290,0,,,,,78248,38099,,0,661175,15938,97108,,,,,0,675320,16167
"2020-06-01","MI","A+",5843,5627,25,242,,,674,0,,346,581424,14232,,,581424,,240,63813,58417,245,0,,,,,77729,38099,,0,645237,14477,67783,,,,,0,659153,14634
"2020-05-31","MI","A+",5818,5601,16,240,,,774,0,,371,567192,12683,,,567192,,250,63568,58254,247,0,,,,,77327,38099,,0,630760,12930,67783,,,,,0,644519,13152
"2020-05-30","MI","A+",5802,5578,24,240,,,774,0,,371,554509,15641,,,554509,,250,63321,58065,205,0,,,,,76858,38099,,0,617830,15846,67783,,,,,0,631367,16229
"2020-05-29","MI","A+",5778,5562,27,240,,,774,0,,371,538868,16205,,,538868,,250,63116,57904,319,0,,,,,76270,33168,,0,601984,16524,67783,,,,,0,615138,17310
"2020-05-28","MI","A+",5751,5538,24,240,,,860,0,,405,522663,17054,,,522663,,251,62797,57695,336,0,,,,,75165,33168,,0,585460,17390,67783,,,,,0,597828,18146
"2020-05-27","MI","A+",5727,5511,24,240,,,882,0,,388,505609,17703,,,505609,,272,62461,57477,386,0,,,,,74073,33168,,0,568070,18089,67783,,,,,0,579682,18587
"2020-05-26","MI","A+",5703,5487,25,240,,,953,0,,449,487906,11581,,,487906,,319,62075,57205,443,0,,,,,73189,33168,,0,549981,12024,67783,,,,,0,561095,11988
"2020-05-25","MI","A+",5678,5463,38,238,,,953,0,,449,476325,9238,,,476325,,319,61632,56892,175,0,,,,,72782,33168,,0,537957,9413,67783,,,,,0,549107,9557
"2020-05-24","MI","A+",5640,5440,28,238,,,953,0,,449,467087,11531,,,467087,,319,61457,56741,164,0,,,,,72463,33168,,0,528544,11695,61973,,,,,0,539550,11929
"2020-05-23","MI","A+",5612,5402,26,237,,,953,0,,449,455556,14274,,,455556,,319,61293,56612,218,0,,,,,72065,33168,,0,516849,14492,61973,,,,,0,527621,14869
"2020-05-22","MI","A+",5586,5375,31,237,,,955,0,,470,441282,19494,,,441282,,348,61075,56445,465,0,,,,,71470,28234,,0,502357,19959,,,,,,0,512752,20340
"2020-05-21","MI","A+",5555,5349,41,237,,,1054,0,,472,421788,15940,,,421788,,361,60610,56132,459,0,,,,,70624,28234,,0,482398,16399,,,,,,0,492412,16698
"2020-05-20","MI","A+",5514,5318,44,236,,,1066,0,,492,405848,13640,,,405848,,332,60151,55838,575,0,,,,,69866,28234,,0,465999,14215,,,,,,0,475714,14349
"2020-05-19","MI","A+",5470,5278,43,233,,,1079,0,,486,392208,16093,,,392208,,351,59576,55461,764,0,,,,,69157,28234,,0,451784,16857,,,,,,0,461365,17060
"2020-05-18","MI","A+",5427,5237,31,233,,,1075,0,,473,376115,12567,,,376115,,418,58812,54872,534,0,,,,,68190,28234,,0,434927,13101,,,,,,0,444305,13503
"2020-05-17","MI","A+",5396,5194,39,233,,,1114,0,,488,363548,10392,,,363548,,434,58278,54457,255,0,,,,,67254,28234,,0,421826,10647,,,,,,0,430802,11436
"2020-05-16","MI","A+",5357,5163,32,233,,,1256,0,,532,353156,11329,,,353156,,440,58023,54246,336,0,,,,,66210,28234,,0,411179,11665,,,,,,0,419366,12186
